	5	10	16
5 	 0.3333 	 0.33335000000000004 	 0.33335000000000004 
10 	 0.33335000000000004 	 0.3333 	 0.33335000000000004 
16 	 0.33335000000000004 	 0.33335000000000004 	 0.3333 

	15	21	26
15 	 0.3333 	 0.33335000000000004 	 0.33335000000000004 
21 	 0.33335000000000004 	 0.3333 	 0.33335000000000004 
26 	 0.33335000000000004 	 0.33335000000000004 	 0.3333 

	7	18
7 	 0.5 	 0.5 
18 	 0.5 	 0.5 

	11	17
11 	 0.5 	 0.5 
17 	 0.5 	 0.5 

	13	24
13 	 0.5 	 0.5 
24 	 0.5 	 0.5 

	14	20
14 	 0.5 	 0.5 
20 	 0.5 	 0.5 

